ID,Fitness Centre Name,Address,Area / Locality,City,Rating,Number of Reviews,Category / Type,Phone Number,Email Address,Website / Social URL,Operating Hours,Price Range
1,Fitness Centre 51,"74, Main Road, Bengaluru",Indiranagar,Bengaluru,4.4,1256,Yoga Studio,+91 9876519721,fit51@example.com,https://fitness51.example.com,7 AM - 9 PM,Budget
2,Fitness Centre 52,"95, Main Road, Bengaluru",BTM Layout,Bengaluru,4.5,2054,Gym / Fitness Studio,+91 9876596424,fit52@example.com,https://fitness52.example.com,5 AM - 11 PM,Mid
3,Fitness Centre 53,"38, Main Road, Bengaluru",Koramangala,Bengaluru,4.6,1704,Dance / Zumba Studio,+91 9876575682,fit53@example.com,https://fitness53.example.com,7 AM - 9 PM,Mid
4,Fitness Centre 54,"12, Main Road, Bengaluru",Indiranagar,Bengaluru,4.2,2000,CrossFit Box,+91 9876526221,fit54@example.com,https://fitness54.example.com,6 AM - 10 PM,Premium
5,Fitness Centre 55,"24, Main Road, Bengaluru",Whitefield,Bengaluru,4.5,2286,Yoga Studio,+91 9876538233,fit55@example.com,https://fitness55.example.com,24 Hours,Budget
6,Fitness Centre 56,"18, Main Road, Bengaluru",Indiranagar,Bengaluru,4.5,1909,Gym / Fitness Studio,+91 9876557262,fit56@example.com,https://fitness56.example.com,6 AM - 10 PM,Mid
7,Fitness Centre 57,"5, Main Road, Bengaluru",HSR Layout,Bengaluru,4,777,Gym / Fitness Studio,+91 9876512021,fit57@example.com,https://fitness57.example.com,7 AM - 9 PM,Budget
8,Fitness Centre 58,"88, Main Road, Bengaluru",Whitefield,Bengaluru,4.1,1707,Yoga Studio,+91 9876591175,fit58@example.com,https://fitness58.example.com,7 AM - 9 PM,Budget
9,Fitness Centre 59,"39, Main Road, Bengaluru",Koramangala,Bengaluru,4.7,926,CrossFit Box,+91 9876524861,fit59@example.com,https://fitness59.example.com,6 AM - 10 PM,Mid
10,Fitness Centre 60,"10, Main Road, Bengaluru",Whitefield,Bengaluru,4.8,601,Dance / Zumba Studio,+91 9876588080,fit60@example.com,https://fitness60.example.com,24 Hours,Premium
11,Fitness Centre 61,"49, Main Road, Bengaluru",Whitefield,Bengaluru,4.5,2146,Gym / Fitness Studio,+91 9876558513,fit61@example.com,https://fitness61.example.com,6 AM - 10 PM,Premium
12,Fitness Centre 62,"8, Main Road, Bengaluru",HSR Layout,Bengaluru,4.7,1003,Dance / Zumba Studio,+91 9876590768,fit62@example.com,https://fitness62.example.com,5 AM - 11 PM,Mid
13,Fitness Centre 63,"73, Main Road, Bengaluru",HSR Layout,Bengaluru,4.6,1059,Yoga Studio,+91 9876517599,fit63@example.com,https://fitness63.example.com,6 AM - 10 PM,Mid
14,Fitness Centre 64,"81, Main Road, Bengaluru",Koramangala,Bengaluru,4.8,1220,CrossFit Box,+91 9876572148,fit64@example.com,https://fitness64.example.com,7 AM - 9 PM,Mid
15,Fitness Centre 65,"25, Main Road, Bengaluru",Indiranagar,Bengaluru,4.7,1785,CrossFit Box,+91 9876521670,fit65@example.com,https://fitness65.example.com,7 AM - 9 PM,Mid
16,Fitness Centre 66,"43, Main Road, Bengaluru",Jayanagar,Bengaluru,4.4,1469,CrossFit Box,+91 9876527016,fit66@example.com,https://fitness66.example.com,24 Hours,Mid
17,Fitness Centre 67,"59, Main Road, Bengaluru",Jayanagar,Bengaluru,4.1,1338,Dance / Zumba Studio,+91 9876582956,fit67@example.com,https://fitness67.example.com,6 AM - 10 PM,Premium
18,Fitness Centre 68,"49, Main Road, Bengaluru",Whitefield,Bengaluru,4.1,1135,Yoga Studio,+91 9876555994,fit68@example.com,https://fitness68.example.com,7 AM - 9 PM,Mid
19,Fitness Centre 69,"46, Main Road, Bengaluru",Jayanagar,Bengaluru,4,1160,Yoga Studio,+91 9876585446,fit69@example.com,https://fitness69.example.com,24 Hours,Premium
20,Fitness Centre 70,"29, Main Road, Bengaluru",Whitefield,Bengaluru,4.5,514,Gym / Fitness Studio,+91 9876589929,fit70@example.com,https://fitness70.example.com,7 AM - 9 PM,Premium
21,Fitness Centre 71,"1, Main Road, Bengaluru",Whitefield,Bengaluru,4,1350,Dance / Zumba Studio,+91 9876533786,fit71@example.com,https://fitness71.example.com,6 AM - 10 PM,Mid
22,Fitness Centre 72,"89, Main Road, Bengaluru",Whitefield,Bengaluru,4.1,2094,Gym / Fitness Studio,+91 9876525129,fit72@example.com,https://fitness72.example.com,24 Hours,Mid
23,Fitness Centre 73,"30, Main Road, Bengaluru",Jayanagar,Bengaluru,3.8,1524,Gym / Fitness Studio,+91 9876536972,fit73@example.com,https://fitness73.example.com,7 AM - 9 PM,Premium
24,Fitness Centre 74,"67, Main Road, Bengaluru",Whitefield,Bengaluru,4.1,1386,Yoga Studio,+91 9876561116,fit74@example.com,https://fitness74.example.com,7 AM - 9 PM,Mid
25,Fitness Centre 75,"82, Main Road, Bengaluru",Jayanagar,Bengaluru,4.5,1031,Yoga Studio,+91 9876572394,fit75@example.com,https://fitness75.example.com,5 AM - 11 PM,Budget
26,Fitness Centre 76,"96, Main Road, Bengaluru",HSR Layout,Bengaluru,4.6,2255,CrossFit Box,+91 9876572864,fit76@example.com,https://fitness76.example.com,24 Hours,Premium
27,Fitness Centre 77,"75, Main Road, Bengaluru",Whitefield,Bengaluru,4.3,1910,Gym / Fitness Studio,+91 9876535632,fit77@example.com,https://fitness77.example.com,5 AM - 11 PM,Mid
28,Fitness Centre 78,"75, Main Road, Bengaluru",BTM Layout,Bengaluru,4.4,540,CrossFit Box,+91 9876538675,fit78@example.com,https://fitness78.example.com,5 AM - 11 PM,Budget
29,Fitness Centre 79,"51, Main Road, Bengaluru",Jayanagar,Bengaluru,4.1,2019,Yoga Studio,+91 9876529811,fit79@example.com,https://fitness79.example.com,24 Hours,Mid
30,Fitness Centre 80,"97, Main Road, Bengaluru",BTM Layout,Bengaluru,4.2,837,CrossFit Box,+91 9876540876,fit80@example.com,https://fitness80.example.com,6 AM - 10 PM,Mid
31,Fitness Centre 81,"47, Main Road, Bengaluru",Jayanagar,Bengaluru,4.6,2111,Gym / Fitness Studio,+91 9876533845,fit81@example.com,https://fitness81.example.com,7 AM - 9 PM,Premium
32,Fitness Centre 82,"69, Main Road, Bengaluru",Jayanagar,Bengaluru,4,935,Yoga Studio,+91 9876553801,fit82@example.com,https://fitness82.example.com,5 AM - 11 PM,Premium
33,Fitness Centre 83,"42, Main Road, Bengaluru",Whitefield,Bengaluru,3.8,609,Gym / Fitness Studio,+91 9876537487,fit83@example.com,https://fitness83.example.com,6 AM - 10 PM,Budget
34,Fitness Centre 84,"33, Main Road, Bengaluru",Indiranagar,Bengaluru,4.1,1352,Dance / Zumba Studio,+91 9876586952,fit84@example.com,https://fitness84.example.com,5 AM - 11 PM,Budget
35,Fitness Centre 85,"99, Main Road, Bengaluru",Koramangala,Bengaluru,4.5,1379,Gym / Fitness Studio,+91 9876572735,fit85@example.com,https://fitness85.example.com,5 AM - 11 PM,Budget
36,Fitness Centre 86,"87, Main Road, Bengaluru",BTM Layout,Bengaluru,4.6,1707,Yoga Studio,+91 9876542976,fit86@example.com,https://fitness86.example.com,7 AM - 9 PM,Budget
37,Fitness Centre 87,"64, Main Road, Bengaluru",BTM Layout,Bengaluru,4.6,1208,Dance / Zumba Studio,+91 9876578168,fit87@example.com,https://fitness87.example.com,6 AM - 10 PM,Premium
38,Fitness Centre 88,"8, Main Road, Bengaluru",HSR Layout,Bengaluru,4.7,2436,Dance / Zumba Studio,+91 9876558307,fit88@example.com,https://fitness88.example.com,6 AM - 10 PM,Mid
39,Fitness Centre 89,"72, Main Road, Bengaluru",Indiranagar,Bengaluru,4.7,1210,Yoga Studio,+91 9876544574,fit89@example.com,https://fitness89.example.com,5 AM - 11 PM,Mid
40,Fitness Centre 90,"16, Main Road, Bengaluru",Indiranagar,Bengaluru,4.2,562,Yoga Studio,+91 9876517909,fit90@example.com,https://fitness90.example.com,6 AM - 10 PM,Premium
41,Fitness Centre 91,"48, Main Road, Bengaluru",Indiranagar,Bengaluru,4.4,2087,Dance / Zumba Studio,+91 9876521372,fit91@example.com,https://fitness91.example.com,6 AM - 10 PM,Premium
42,Fitness Centre 92,"88, Main Road, Bengaluru",Jayanagar,Bengaluru,4.1,1389,Gym / Fitness Studio,+91 9876559511,fit92@example.com,https://fitness92.example.com,24 Hours,Premium
43,Fitness Centre 93,"52, Main Road, Bengaluru",Whitefield,Bengaluru,4.6,927,Gym / Fitness Studio,+91 9876594580,fit93@example.com,https://fitness93.example.com,5 AM - 11 PM,Mid
44,Fitness Centre 94,"25, Main Road, Bengaluru",Indiranagar,Bengaluru,4.2,1292,CrossFit Box,+91 9876577144,fit94@example.com,https://fitness94.example.com,24 Hours,Premium
45,Fitness Centre 95,"90, Main Road, Bengaluru",BTM Layout,Bengaluru,3.8,2255,Dance / Zumba Studio,+91 9876547163,fit95@example.com,https://fitness95.example.com,5 AM - 11 PM,Budget
46,Fitness Centre 96,"87, Main Road, Bengaluru",Indiranagar,Bengaluru,3.8,1787,CrossFit Box,+91 9876576762,fit96@example.com,https://fitness96.example.com,7 AM - 9 PM,Mid
47,Fitness Centre 97,"64, Main Road, Bengaluru",Jayanagar,Bengaluru,4.2,2493,Yoga Studio,+91 9876576750,fit97@example.com,https://fitness97.example.com,5 AM - 11 PM,Premium
48,Fitness Centre 98,"4, Main Road, Bengaluru",Whitefield,Bengaluru,4.4,2218,Yoga Studio,+91 9876549888,fit98@example.com,https://fitness98.example.com,7 AM - 9 PM,Mid
49,Fitness Centre 99,"37, Main Road, Bengaluru",Whitefield,Bengaluru,4.5,1761,Yoga Studio,+91 9876521954,fit99@example.com,https://fitness99.example.com,6 AM - 10 PM,Premium
50,Fitness Centre 100,"45, Main Road, Bengaluru",Koramangala,Bengaluru,3.9,2491,Gym / Fitness Studio,+91 9876582024,fit100@example.com,https://fitness100.example.com,6 AM - 10 PM,Premium
51,Fitness Centre 101,"46, Main Road, Bengaluru",Whitefield,Bengaluru,4.6,2023,Dance / Zumba Studio,+91 9876541638,fit101@example.com,https://fitness101.example.com,6 AM - 10 PM,Mid
52,Fitness Centre 102,"41, Main Road, Bengaluru",HSR Layout,Bengaluru,4.5,1485,Yoga Studio,+91 9876572332,fit102@example.com,https://fitness102.example.com,7 AM - 9 PM,Mid
53,Fitness Centre 103,"94, Main Road, Bengaluru",HSR Layout,Bengaluru,3.9,1402,Gym / Fitness Studio,+91 9876544378,fit103@example.com,https://fitness103.example.com,5 AM - 11 PM,Budget
54,Fitness Centre 104,"25, Main Road, Bengaluru",HSR Layout,Bengaluru,4,1262,Dance / Zumba Studio,+91 9876577736,fit104@example.com,https://fitness104.example.com,5 AM - 11 PM,Budget
55,Fitness Centre 105,"69, Main Road, Bengaluru",Koramangala,Bengaluru,4.6,1980,Dance / Zumba Studio,+91 9876599189,fit105@example.com,https://fitness105.example.com,7 AM - 9 PM,Mid
56,Fitness Centre 106,"50, Main Road, Bengaluru",Jayanagar,Bengaluru,4.5,2145,Gym / Fitness Studio,+91 9876535902,fit106@example.com,https://fitness106.example.com,5 AM - 11 PM,Mid
57,Fitness Centre 107,"79, Main Road, Bengaluru",Koramangala,Bengaluru,4.2,2126,Dance / Zumba Studio,+91 9876596111,fit107@example.com,https://fitness107.example.com,24 Hours,Premium
58,Fitness Centre 108,"72, Main Road, Bengaluru",Whitefield,Bengaluru,4.2,2192,Gym / Fitness Studio,+91 9876591031,fit108@example.com,https://fitness108.example.com,6 AM - 10 PM,Premium
59,Fitness Centre 109,"73, Main Road, Bengaluru",HSR Layout,Bengaluru,3.9,2375,CrossFit Box,+91 9876593811,fit109@example.com,https://fitness109.example.com,5 AM - 11 PM,Premium
60,Fitness Centre 110,"45, Main Road, Bengaluru",Koramangala,Bengaluru,4.5,2259,Gym / Fitness Studio,+91 9876512334,fit110@example.com,https://fitness110.example.com,5 AM - 11 PM,Premium
61,Fitness Centre 111,"13, Main Road, Bengaluru",Whitefield,Bengaluru,4,2404,Dance / Zumba Studio,+91 9876547366,fit111@example.com,https://fitness111.example.com,5 AM - 11 PM,Premium
62,Fitness Centre 112,"89, Main Road, Bengaluru",BTM Layout,Bengaluru,4.8,1892,Yoga Studio,+91 9876516579,fit112@example.com,https://fitness112.example.com,5 AM - 11 PM,Premium
63,Fitness Centre 113,"29, Main Road, Bengaluru",Koramangala,Bengaluru,4.7,1393,CrossFit Box,+91 9876573779,fit113@example.com,https://fitness113.example.com,7 AM - 9 PM,Premium
64,Fitness Centre 114,"60, Main Road, Bengaluru",Koramangala,Bengaluru,4.4,581,Dance / Zumba Studio,+91 9876576645,fit114@example.com,https://fitness114.example.com,7 AM - 9 PM,Budget
65,Fitness Centre 115,"23, Main Road, Bengaluru",Whitefield,Bengaluru,4.8,1152,Dance / Zumba Studio,+91 9876533752,fit115@example.com,https://fitness115.example.com,5 AM - 11 PM,Premium
66,Fitness Centre 116,"28, Main Road, Bengaluru",Indiranagar,Bengaluru,4.3,2435,Dance / Zumba Studio,+91 9876581809,fit116@example.com,https://fitness116.example.com,7 AM - 9 PM,Premium
67,Fitness Centre 117,"90, Main Road, Bengaluru",Whitefield,Bengaluru,4.6,712,Yoga Studio,+91 9876575002,fit117@example.com,https://fitness117.example.com,7 AM - 9 PM,Mid
68,Fitness Centre 118,"10, Main Road, Bengaluru",Indiranagar,Bengaluru,4.4,918,Gym / Fitness Studio,+91 9876519619,fit118@example.com,https://fitness118.example.com,6 AM - 10 PM,Premium
69,Fitness Centre 119,"17, Main Road, Bengaluru",BTM Layout,Bengaluru,4.8,1765,Gym / Fitness Studio,+91 9876547135,fit119@example.com,https://fitness119.example.com,7 AM - 9 PM,Premium
70,Fitness Centre 120,"77, Main Road, Bengaluru",HSR Layout,Bengaluru,4.5,732,CrossFit Box,+91 9876536502,fit120@example.com,https://fitness120.example.com,24 Hours,Mid
71,Fitness Centre 121,"10, Main Road, Bengaluru",Indiranagar,Bengaluru,4.5,1002,Yoga Studio,+91 9876578148,fit121@example.com,https://fitness121.example.com,6 AM - 10 PM,Premium
72,Fitness Centre 122,"74, Main Road, Bengaluru",BTM Layout,Bengaluru,4.6,679,Dance / Zumba Studio,+91 9876534194,fit122@example.com,https://fitness122.example.com,5 AM - 11 PM,Mid
73,Fitness Centre 123,"20, Main Road, Bengaluru",BTM Layout,Bengaluru,3.8,1563,Dance / Zumba Studio,+91 9876529184,fit123@example.com,https://fitness123.example.com,24 Hours,Budget
74,Fitness Centre 124,"12, Main Road, Bengaluru",BTM Layout,Bengaluru,4.5,1983,Yoga Studio,+91 9876597139,fit124@example.com,https://fitness124.example.com,7 AM - 9 PM,Premium
75,Fitness Centre 125,"3, Main Road, Bengaluru",Koramangala,Bengaluru,4.3,1239,Gym / Fitness Studio,+91 9876519511,fit125@example.com,https://fitness125.example.com,6 AM - 10 PM,Premium
76,Fitness Centre 126,"46, Main Road, Bengaluru",Koramangala,Bengaluru,4.6,1415,Dance / Zumba Studio,+91 9876566365,fit126@example.com,https://fitness126.example.com,5 AM - 11 PM,Budget
77,Fitness Centre 127,"25, Main Road, Bengaluru",HSR Layout,Bengaluru,4.1,543,CrossFit Box,+91 9876583806,fit127@example.com,https://fitness127.example.com,7 AM - 9 PM,Premium
78,Fitness Centre 128,"98, Main Road, Bengaluru",Koramangala,Bengaluru,4.6,2423,Yoga Studio,+91 9876522922,fit128@example.com,https://fitness128.example.com,6 AM - 10 PM,Budget
79,Fitness Centre 129,"1, Main Road, Bengaluru",Indiranagar,Bengaluru,3.9,2216,CrossFit Box,+91 9876514489,fit129@example.com,https://fitness129.example.com,24 Hours,Budget
80,Fitness Centre 130,"23, Main Road, Bengaluru",Koramangala,Bengaluru,4,1939,Gym / Fitness Studio,+91 9876567388,fit130@example.com,https://fitness130.example.com,24 Hours,Premium
81,Fitness Centre 131,"82, Main Road, Bengaluru",Indiranagar,Bengaluru,3.9,612,Yoga Studio,+91 9876558184,fit131@example.com,https://fitness131.example.com,5 AM - 11 PM,Mid
82,Fitness Centre 132,"9, Main Road, Bengaluru",Whitefield,Bengaluru,4.5,1264,Yoga Studio,+91 9876539864,fit132@example.com,https://fitness132.example.com,7 AM - 9 PM,Premium
83,Fitness Centre 133,"66, Main Road, Bengaluru",BTM Layout,Bengaluru,4.7,698,Yoga Studio,+91 9876569696,fit133@example.com,https://fitness133.example.com,6 AM - 10 PM,Budget
84,Fitness Centre 134,"4, Main Road, Bengaluru",BTM Layout,Bengaluru,4.1,922,Dance / Zumba Studio,+91 9876580348,fit134@example.com,https://fitness134.example.com,24 Hours,Budget
85,Fitness Centre 135,"20, Main Road, Bengaluru",Whitefield,Bengaluru,4.7,1315,Gym / Fitness Studio,+91 9876550728,fit135@example.com,https://fitness135.example.com,5 AM - 11 PM,Mid
86,Fitness Centre 136,"55, Main Road, Bengaluru",HSR Layout,Bengaluru,4.5,1247,Dance / Zumba Studio,+91 9876550925,fit136@example.com,https://fitness136.example.com,7 AM - 9 PM,Mid
87,Fitness Centre 137,"78, Main Road, Bengaluru",HSR Layout,Bengaluru,4.1,598,Gym / Fitness Studio,+91 9876547413,fit137@example.com,https://fitness137.example.com,6 AM - 10 PM,Premium
88,Fitness Centre 138,"68, Main Road, Bengaluru",HSR Layout,Bengaluru,4.5,2011,Gym / Fitness Studio,+91 9876538858,fit138@example.com,https://fitness138.example.com,5 AM - 11 PM,Premium
89,Fitness Centre 139,"24, Main Road, Bengaluru",Koramangala,Bengaluru,4.5,1330,Dance / Zumba Studio,+91 9876546842,fit139@example.com,https://fitness139.example.com,24 Hours,Budget
90,Fitness Centre 140,"54, Main Road, Bengaluru",Whitefield,Bengaluru,4,1303,Yoga Studio,+91 9876541252,fit140@example.com,https://fitness140.example.com,7 AM - 9 PM,Premium
91,Fitness Centre 141,"87, Main Road, Bengaluru",Jayanagar,Bengaluru,4.8,1151,Yoga Studio,+91 9876581757,fit141@example.com,https://fitness141.example.com,5 AM - 11 PM,Premium
92,Fitness Centre 142,"93, Main Road, Bengaluru",Koramangala,Bengaluru,4,1989,Dance / Zumba Studio,+91 9876545643,fit142@example.com,https://fitness142.example.com,7 AM - 9 PM,Budget
93,Fitness Centre 143,"41, Main Road, Bengaluru",HSR Layout,Bengaluru,4.5,1198,Gym / Fitness Studio,+91 9876544045,fit143@example.com,https://fitness143.example.com,7 AM - 9 PM,Budget
94,Fitness Centre 144,"27, Main Road, Bengaluru",HSR Layout,Bengaluru,4.6,713,CrossFit Box,+91 9876575312,fit144@example.com,https://fitness144.example.com,6 AM - 10 PM,Budget
95,Fitness Centre 145,"86, Main Road, Bengaluru",Whitefield,Bengaluru,4.7,2066,Gym / Fitness Studio,+91 9876534422,fit145@example.com,https://fitness145.example.com,7 AM - 9 PM,Mid
96,Fitness Centre 146,"71, Main Road, Bengaluru",Indiranagar,Bengaluru,4.6,2407,Dance / Zumba Studio,+91 9876543305,fit146@example.com,https://fitness146.example.com,24 Hours,Premium
97,Fitness Centre 147,"25, Main Road, Bengaluru",BTM Layout,Bengaluru,4.1,1650,CrossFit Box,+91 9876566770,fit147@example.com,https://fitness147.example.com,24 Hours,Premium
98,Fitness Centre 148,"41, Main Road, Bengaluru",Whitefield,Bengaluru,4.2,950,CrossFit Box,+91 9876543780,fit148@example.com,https://fitness148.example.com,6 AM - 10 PM,Budget
99,Fitness Centre 149,"15, Main Road, Bengaluru",HSR Layout,Bengaluru,3.8,999,Dance / Zumba Studio,+91 9876553010,fit149@example.com,https://fitness149.example.com,5 AM - 11 PM,Mid
100,Fitness Centre 150,"11, Main Road, Bengaluru",Jayanagar,Bengaluru,3.9,1149,Dance / Zumba Studio,+91 9876551985,fit150@example.com,https://fitness150.example.com,7 AM - 9 PM,Premium
101,Fitness Centre 151,"23, Main Road, Bengaluru",Indiranagar,Bengaluru,4,596,Yoga Studio,+91 9876546802,fit151@example.com,https://fitness151.example.com,7 AM - 9 PM,Premium
102,Fitness Centre 152,"8, Main Road, Bengaluru",Indiranagar,Bengaluru,4.6,2334,CrossFit Box,+91 9876544459,fit152@example.com,https://fitness152.example.com,7 AM - 9 PM,Premium
103,Fitness Centre 153,"26, Main Road, Bengaluru",Whitefield,Bengaluru,4.3,625,Gym / Fitness Studio,+91 9876596990,fit153@example.com,https://fitness153.example.com,24 Hours,Premium
104,Fitness Centre 154,"95, Main Road, Bengaluru",Whitefield,Bengaluru,4.7,787,CrossFit Box,+91 9876571935,fit154@example.com,https://fitness154.example.com,5 AM - 11 PM,Premium
105,Fitness Centre 155,"94, Main Road, Bengaluru",BTM Layout,Bengaluru,4.1,819,Gym / Fitness Studio,+91 9876598817,fit155@example.com,https://fitness155.example.com,5 AM - 11 PM,Mid
106,Fitness Centre 156,"3, Main Road, Bengaluru",HSR Layout,Bengaluru,4.2,2259,Dance / Zumba Studio,+91 9876549103,fit156@example.com,https://fitness156.example.com,6 AM - 10 PM,Mid
107,Fitness Centre 157,"28, Main Road, Bengaluru",Koramangala,Bengaluru,4.6,666,Gym / Fitness Studio,+91 9876535916,fit157@example.com,https://fitness157.example.com,7 AM - 9 PM,Budget
108,Fitness Centre 158,"43, Main Road, Bengaluru",BTM Layout,Bengaluru,4.2,1301,Yoga Studio,+91 9876559538,fit158@example.com,https://fitness158.example.com,7 AM - 9 PM,Mid
109,Fitness Centre 159,"78, Main Road, Bengaluru",HSR Layout,Bengaluru,4.5,1409,Gym / Fitness Studio,+91 9876561188,fit159@example.com,https://fitness159.example.com,24 Hours,Budget
110,Fitness Centre 160,"79, Main Road, Bengaluru",Whitefield,Bengaluru,4.7,1100,CrossFit Box,+91 9876554943,fit160@example.com,https://fitness160.example.com,6 AM - 10 PM,Premium
111,Fitness Centre 161,"78, Main Road, Bengaluru",Indiranagar,Bengaluru,4.3,2168,Dance / Zumba Studio,+91 9876566897,fit161@example.com,https://fitness161.example.com,5 AM - 11 PM,Premium
112,Fitness Centre 162,"83, Main Road, Bengaluru",HSR Layout,Bengaluru,4.5,2034,Yoga Studio,+91 9876594543,fit162@example.com,https://fitness162.example.com,7 AM - 9 PM,Premium
113,Fitness Centre 163,"17, Main Road, Bengaluru",HSR Layout,Bengaluru,3.8,1140,Dance / Zumba Studio,+91 9876515290,fit163@example.com,https://fitness163.example.com,24 Hours,Premium
114,Fitness Centre 164,"54, Main Road, Bengaluru",Koramangala,Bengaluru,4.4,1019,Gym / Fitness Studio,+91 9876541046,fit164@example.com,https://fitness164.example.com,6 AM - 10 PM,Mid
115,Fitness Centre 165,"25, Main Road, Bengaluru",Koramangala,Bengaluru,4.7,1211,Gym / Fitness Studio,+91 9876597712,fit165@example.com,https://fitness165.example.com,5 AM - 11 PM,Mid
116,Fitness Centre 166,"77, Main Road, Bengaluru",Koramangala,Bengaluru,3.9,1413,Dance / Zumba Studio,+91 9876588630,fit166@example.com,https://fitness166.example.com,6 AM - 10 PM,Mid
117,Fitness Centre 167,"58, Main Road, Bengaluru",HSR Layout,Bengaluru,4,1674,Gym / Fitness Studio,+91 9876517302,fit167@example.com,https://fitness167.example.com,7 AM - 9 PM,Budget
118,Fitness Centre 168,"26, Main Road, Bengaluru",HSR Layout,Bengaluru,4,1699,Gym / Fitness Studio,+91 9876521872,fit168@example.com,https://fitness168.example.com,24 Hours,Budget
119,Fitness Centre 169,"4, Main Road, Bengaluru",Koramangala,Bengaluru,4.1,2419,Gym / Fitness Studio,+91 9876542252,fit169@example.com,https://fitness169.example.com,6 AM - 10 PM,Budget
120,Fitness Centre 170,"48, Main Road, Bengaluru",BTM Layout,Bengaluru,4.6,2480,CrossFit Box,+91 9876514495,fit170@example.com,https://fitness170.example.com,7 AM - 9 PM,Mid
121,Fitness Centre 171,"78, Main Road, Bengaluru",HSR Layout,Bengaluru,4.3,526,CrossFit Box,+91 9876576063,fit171@example.com,https://fitness171.example.com,24 Hours,Premium
122,Fitness Centre 172,"31, Main Road, Bengaluru",Indiranagar,Bengaluru,4.1,1001,Yoga Studio,+91 9876518627,fit172@example.com,https://fitness172.example.com,5 AM - 11 PM,Mid
123,Fitness Centre 173,"2, Main Road, Bengaluru",Indiranagar,Bengaluru,4.3,1431,Gym / Fitness Studio,+91 9876571825,fit173@example.com,https://fitness173.example.com,5 AM - 11 PM,Budget
124,Fitness Centre 174,"55, Main Road, Bengaluru",BTM Layout,Bengaluru,4.3,909,Yoga Studio,+91 9876595048,fit174@example.com,https://fitness174.example.com,6 AM - 10 PM,Budget
